차품목,효능번호,카페인,향기준
Bengal Spice,1,X,2
BerryBlossom White,1,O,1
Black Cherry Berry,3,X,1
Breakfast in Paris Black Tea,1,O,"1,4"
ButterScotch Blondie,3,O,4
Candy Cane Lane,4,△,"3,5"
Chai Green Tea,3,O,"2,5"
Chamomile Nights Herbal Tea,4,X,4
China Green Tips,3,O,5
Choco,3,X,2
Chocolate Mint Oolong Tea,1,O,3
Cinnamon Apple Spice,"1,4",X,"1,2"
Cinnamon Express,3,O,2
Clear Mind Tea,4,X,"1,2"
Coconut Mango Oolong Tea,"1,4",O,1
Cold Brew Half&Half,4,O,"1,5"
Cranberry Vanilla Wonderland,1,X,"1,4"
Decaf Vanilla Chai Black Tea,4,△,"2,4"
Digestive Tea,4,X,"2,3"
Double Bergamot Earl Grey,4,O,"1,4"
Double Spice Chai Black Tea,"1,4",O,2
Dream,4,X,4
Earl Grey Cr?me,4,O,"4,5"
Elderberry BlackBerry,4,X,1
Energize,3,O,2
English Breakfast Black Tea,3,O,"4,5"
Fast Lane,2,O,"2,5"
Ginger Orange with Vanila,3,X,"1,2"
Glazed Lemon Loaf,3,X,"1,4"
Golden Tumeric Chai Herbal Tea,3,X,"1,2"
Iced True Black,3,O,5
Juniper Mint Honey,3,X,"1,3"
Lemon Lavender Lane,4,X,"1,4"
Lemon Mint,4,X,1
Lemon Strawberry,3,O,1
Licorice Spcie Herbal Tea,1,X,"1,2"
Meyer Lemon Herbal Tea,"1,4",X,1
Morning Thunder,1,O,5
Organic Chai,4,O,2
ORGANIC PEACHY GREEN,4,O,1
Peppermint Huckleberry,4,O,3
Pomegranate Raspberry Green Tea,3,O,1
PricklyPear Cactus,4,X,4
Refresh Mint,4,X,3
Roastaroma,4,X,2
Rose,3,X,4
SleepyTime,4,X,"3,4"
Sweet Honeydew Green Tea,3,O,1
Sweet Tangerine Positive Energy,2,O,5
Tazo Herbal Juniper Mint Honey Tea Bags,3,X,3
Tumeric Chai,3,X,2
Tumeric Orange,3,X,"1,2"
Vanilla Bean Macaron,1,O,"2,4"
VANILLA CARAMEL CHAI,4,O,4
White Peach Oolong Tea,"1,4",O,1
Wild Apple Sarsaparilla,4,X,"1,4"
Wild Raspberry Hibiscus Herbal Tea,3,X,1
"Yogi Tea, Perfect Energy",2,O,1
"Yogi Tea, 베리 디톡스",2,X,1
"Yogi Tea, 복숭아 해독제,",2,X,1
"Yogi Tea, 여성용 라즈베리 잎",4,X,5
ZEN™-green tea,3,O,3
요기티 Yogi Tea 라즈베리 패션 퍼펙트 에너지 티 16티백,2,X,2
요기티 Yogi Tea 베드타임 티 16티백,4,X,3
요기티 Yogi Tea 스윗 탠저린 파지티브 에너지 티 16티백,4,O,1
요기티 Yogi Tea 스토맥 이즈 티 16티백,4,X,"2,3"
요기티 Yogi Tea 진저 티 16티백,"2,4",X,2
요기티 Yogi Tea 콜드 시즌 티 16티백,4,X,"2,3,4"
요기티 Yogi Tea 트롯 컴포트 티 허니 레몬 16티백,4,X,1
요기티 Yogi Tea 피치 디톡스 티 16티백,4,X,1
