차품목,효능번호,카페인,향기준,idtea
Bengal Spice,1,X,2,a1
BerryBlossom White,1,O,1,a2
Black Cherry Berry,3,X,1,a3
Breakfast in Paris Black Tea,1,O,"1,4",a4
ButterScotch Blondie,3,O,4,a5
Candy Cane Lane,4,△,"3,5",a6
Chai Green Tea,3,O,"2,5",a7
Chamomile Nights Herbal Tea,4,X,4,a8
China Green Tips,3,O,5,a9
Choco,3,X,2,a10
Chocolate Mint Oolong Tea,1,O,3,a11
Cinnamon Apple Spice,"1,4",X,"1,2",a12
Cinnamon Express,3,O,2,a13
Clear Mind Tea,4,X,"1,2",a14
Coconut Mango Oolong Tea,"1,4",O,1,a15
Cold Brew Half&Half,4,O,"1,5",a16
Cranberry Vanilla Wonderland,1,X,"1,4",a17
Decaf Vanilla Chai Black Tea,4,△,"2,4",a18
Digestive Tea,4,X,"2,3",a19
Double Bergamot Earl Grey,4,O,"1,4",a20
Double Spice Chai Black Tea,"1,4",O,2,a21
Dream,4,X,4,a22
Earl Grey Cr?me,4,O,"4,5",a23
Elderberry BlackBerry,4,X,1,a24
Energize,3,O,2,a25
English Breakfast Black Tea,3,O,"4,5",a26
Fast Lane,2,O,"2,5",a27
Ginger Orange with Vanila,3,X,"1,2",a28
Glazed Lemon Loaf,3,X,"1,4",a29
Golden Tumeric Chai Herbal Tea,3,X,"1,2",a30
Iced True Black,3,O,5,a31
Juniper Mint Honey,3,X,"1,3",a32
Lemon Lavender Lane,4,X,"1,4",a33
Lemon Mint,4,X,1,a34
Lemon Strawberry,3,O,1,a35
Licorice Spcie Herbal Tea,1,X,"1,2",a36
Meyer Lemon Herbal Tea,"1,4",X,1,a37
Morning Thunder,1,O,5,a38
Organic Chai,4,O,2,a39
ORGANIC PEACHY GREEN,4,O,1,a40
Peppermint Huckleberry,4,O,3,a41
Pomegranate Raspberry Green Tea,3,O,1,a42
PricklyPear Cactus,4,X,4,a43
Refresh Mint,4,X,3,a44
Roastaroma,4,X,2,a45
Rose,3,X,4,a46
SleepyTime,4,X,"3,4",a47
Sweet Honeydew Green Tea,3,O,1,a48
Sweet Tangerine Positive Energy,2,O,5,a49
Tazo Herbal Juniper Mint Honey Tea Bags,3,X,3,a50
Tumeric Chai,3,X,2,a51
Tumeric Orange,3,X,"1,2",a52
Vanilla Bean Macaron,1,O,"2,4",a53
VANILLA CARAMEL CHAI,4,O,4,a54
White Peach Oolong Tea,"1,4",O,1,a55
Wild Apple Sarsaparilla,4,X,"1,4",a56
Wild Raspberry Hibiscus Herbal Tea,3,X,1,a57
"Yogi Tea, Perfect Energy",2,O,1,a58
"Yogi Tea, 베리 디톡스",2,X,1,a59
"Yogi Tea, 복숭아 해독제,",2,X,1,a60
"Yogi Tea, 여성용 라즈베리 잎",4,X,5,a61
ZEN™-green tea,3,O,3,a62
요기티 Yogi Tea 라즈베리 패션 퍼펙트 에너지 티 16티백,2,X,2,a63
요기티 Yogi Tea 베드타임 티 16티백,4,X,3,a64
요기티 Yogi Tea 스윗 탠저린 파지티브 에너지 티 16티백,4,O,1,a65
요기티 Yogi Tea 스토맥 이즈 티 16티백,4,X,"2,3",a66
요기티 Yogi Tea 진저 티 16티백,"2,4",X,2,a67
요기티 Yogi Tea 콜드 시즌 티 16티백,4,X,"2,3,4",a68
요기티 Yogi Tea 트롯 컴포트 티 허니 레몬 16티백,4,X,1,a69
요기티 Yogi Tea 피치 디톡스 티 16티백,4,X,1,a70
