차품목,효능번호,카페인,향기준,contentId,"맛,향",personId
Bengal Spice,1,X,2,100001,"계피, 생강",1
BerryBlossom White,1,O,1,100002,과일향(베리향),2
Black Cherry Berry,3,X,1,100003,"과일향(체리, 베리)",3
Breakfast in Paris Black Tea,1,O,"1,4",100004,"라벤더꽃향, 시트러스향",4
ButterScotch Blondie,3,O,4,100005,"버터카라멜향, 바닐라향",5
Candy Cane Lane,4,△,"3,5",100006,"민트향, 녹차향",6
Chai Green Tea,3,O,"2,5",100007,"계피, 생강,녹차향",7
Chamomile Nights Herbal Tea,4,X,4,100008,캐모마일향,8
China Green Tips,3,O,5,100009,녹차향,9
Choco,3,X,2,100010,"초콜릿향, 계피, 생강",10
Chocolate Mint Oolong Tea,1,O,3,100011,"초콜릿, 민트향",11
Cinnamon Apple Spice,"1,4",X,"1,2",100012,"계피향, 과일향(사과), 버터스카치, 초콜릿",12
Cinnamon Express,3,O,2,100013,"계피, 홍차향",13
Clear Mind Tea,4,X,"1,2",100014,"레몬향, 생강향",14
Coconut Mango Oolong Tea,"1,4",O,1,100015,"견과향, 과일향",15
Cold Brew Half&Half,4,O,"1,5",100016,"레몬향, 홍차향",16
Cranberry Vanilla Wonderland,1,X,"1,4",100017,"히비스커스, 루이보스, 과일향(크랜베리)",17
Decaf Vanilla Chai Black Tea,4,△,"2,4",100018,"바닐라향, 계피향",18
Digestive Tea,4,X,"2,3",100019,"민트향, 생강향",19
Double Bergamot Earl Grey,4,O,"1,4",100020,"베르가못향,시트러스향",20
Double Spice Chai Black Tea,"1,4",O,2,100021,"계피, 생강향",21
Dream,4,X,4,100022,"캐모마일, 라벤더, 바닐라",22
Earl Grey Cr?me,4,O,"4,5",100023,"얼그레이, 바닐라향",23
Elderberry BlackBerry,4,X,1,100024,"달콤한 맛 엘더베리에 블랙베리 향 과일향(엘더베리, 블랙베리)",24
Energize,3,O,2,100025,인삼향,25
English Breakfast Black Tea,3,O,"4,5",100026,"홍차향, 꽃향기",26
Fast Lane,2,O,"2,5",100027,"계피, 아삼홍차향, 콜라빈",27
Ginger Orange with Vanila,3,X,"1,2",100028,"생강,계피, 과일향(오렌지)",28
Glazed Lemon Loaf,3,X,"1,4",100029,"루이보스, 레몬향",29
Golden Tumeric Chai Herbal Tea,3,X,"1,2",100030,"계피, 생강, 오렌지향",30
Iced True Black,3,O,5,100031,홍차향,31
Juniper Mint Honey,3,X,"1,3",100032,"민트, 베리향",32
Lemon Lavender Lane,4,X,"1,4",100033,"과일향(레몬), 라벤더향",33
Lemon Mint,4,X,1,100034,"레몬향, 민트향",34
Lemon Strawberry,3,O,1,100035,"과일향(레몬,딸기)",35
Licorice Spcie Herbal Tea,1,X,"1,2",100036,"계피향, 오렌지향",36
Meyer Lemon Herbal Tea,"1,4",X,1,100037,시트러스향,37
Morning Thunder,1,O,5,100038,마테향,38
Organic Chai,4,X,2,100039,"계피, 카다몸, 생강 및 후추의 풍부한 향",39
ORGANIC PEACHY GREEN,4,O,1,100040,복숭아 향,40
Peppermint Huckleberry,4,O,3,100041,상쾌한 민트 시원한 향,41
Pomegranate Raspberry Green Tea,3,O,1,100042,"과일향(석류, 라즈베리)",42
PricklyPear Cactus,4,X,4,100043,"히비스커스향, 캐모마일향",43
Refresh Mint,4,X,3,100044,시원한 향,44
Roastaroma,4,X,2,100045,"치커리, 보리향, 계피향",45
Rose,3,X,4,100046,"플로럴향(장미, 엘더플라워 등)",46
SleepyTime,4,X,"3,4",100047,"캐모마일, 민트, 레몬그라스",47
Sweet Honeydew Green Tea,3,O,1,100048,과일향(멜론향),48
Sweet Tangerine Positive Energy,2,O,5,100049,"마테, 플로럴(연꽃), 시트러스향",49
Tazo Herbal Juniper Mint Honey Tea Bags,3,X,3,100050,달콤한 맛 상쾌한 민트 향,50
Tumeric Chai,3,X,2,100051,"생강, 계피",51
Tumeric Orange,3,X,"1,2",100052,"과일향(오렌지), 생강",52
