,timestamp,eventType,contentId,personId,sessionId,userAgent,userRegion,userCountry,eventStrength,interactCnt,gender,age(15~60)
866,1463138398,VIEW,102336,-9.22E+18,-4.48E+18,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/50.0.2661.94 Safari/537.36",SP,BR,1,43,male,18
1475,1463656314,VIEW,102124,-9.22E+18,-7.82E+18,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/50.0.2661.102 Safari/537.36",SP,BR,1,43,male,18
2916,1464113091,VIEW,101361,-9.22E+18,-2.77E+18,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/50.0.2661.102 Safari/537.36",SP,BR,1,43,male,18
5309,1462283851,VIEW,100580,-9.22E+18,2.63E+18,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.112 Safari/537.36",SP,BR,1,43,male,18
9221,1462452127,VIEW,102394,-9.22E+18,-3.67E+18,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/50.0.2661.94 Safari/537.36",SP,BR,1,43,male,18
15868,1467140701,VIEW,100893,-9.22E+18,1.27E+18,,,,1,43,male,18
15904,1467140700,VIEW,100577,-9.22E+18,1.27E+18,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.103 Safari/537.36",SP,BR,1,43,male,18
16744,1463055684,VIEW,102339,-9.22E+18,-6.09E+18,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/50.0.2661.94 Safari/537.36",SP,BR,1,43,male,18
17230,1461322785,VIEW,102405,-9.22E+18,6.21E+18,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.112 Safari/537.36",SP,BR,1,43,male,18
17231,1461322815,VIEW,100498,-9.22E+18,6.21E+18,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.112 Safari/537.36",SP,BR,1,43,male,18
18344,1467029796,VIEW,101298,-9.22E+18,-6.19E+18,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.103 Safari/537.36",SP,BR,1,43,male,18
18360,1467029796,VIEW,101590,-9.22E+18,-6.19E+18,,,,1,43,male,18
18390,1464606741,VIEW,100689,-9.22E+18,8.47E+18,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/50.0.2661.102 Safari/537.36",SP,BR,1,43,male,18
21944,1463486417,VIEW,100427,-9.22E+18,8.14E+18,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/50.0.2661.102 Safari/537.36",SP,BR,1,43,male,18
21946,1463485951,VIEW,101470,-9.22E+18,8.14E+18,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/50.0.2661.102 Safari/537.36",SP,BR,1,43,male,18
22651,1465298923,VIEW,100380,-9.22E+18,7.55E+18,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/50.0.2661.102 Safari/537.36",SP,BR,1,43,male,18
22664,1465298923,VIEW,101523,-9.22E+18,7.55E+18,,,,1,43,male,18
23929,1467823894,VIEW,101767,-9.22E+18,7.30E+18,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.103 Safari/537.36",SP,BR,1,43,male,18
23975,1467823897,VIEW,100777,-9.22E+18,7.30E+18,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.103 Safari/537.36",SP,BR,1,43,male,18
25672,1464088182,VIEW,101135,-9.22E+18,-2.77E+18,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/50.0.2661.102 Safari/537.36",SP,BR,1,43,male,18
26514,1466422433,VIEW,101360,-9.22E+18,-1.91E+18,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.84 Safari/537.36",SP,BR,1,43,male,18
26520,1466420908,VIEW,101562,-9.22E+18,-1.91E+18,,,,1,43,male,18
