timestamp,eventType,contentId,personId,sessionId,userAgent,userRegion,userCountry
1465413032,VIEW,a18,-8.85E+18,1.26E+18,,,
1465412560,VIEW,a41,-1.03E+18,3.62E+18,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/52.0.2743.24 Safari/537.36",NY,US
1465416190,VIEW,a34,-1.13E+18,2.63E+18,,,
1465413895,FOLLOW,a25,3.44E+17,-3.17E+18,,,
1465412290,VIEW,a63,-4.45E+17,5.61E+18,,,
1465413742,VIEW,a58,-8.76E+18,1.40E+18,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/50.0.2661.102 Safari/537.36",MG,BR
1465415950,VIEW,a53,3.61E+18,1.14E+18,,,
1465415066,VIEW,a13,4.25E+18,8.74E+18,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.79 Safari/537.36",SP,BR
1465413762,VIEW,a61,3.44E+17,-3.17E+18,,,
1465413771,VIEW,a50,3.61E+18,1.14E+18,,,
1465413864,VIEW,a36,3.61E+18,1.14E+18,,,
1465415229,VIEW,a22,1.91E+18,9.12E+18,,,
1465415228,VIEW,a2,1.91E+18,9.12E+18,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/50.0.2661.102 Safari/537.36",SP,BR
1465415691,VIEW,a7,1.91E+18,9.12E+18,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/50.0.2661.102 Safari/537.36",SP,BR
1465413171,VIEW,a26,7.78E+18,-8.31E+18,,,
1465415259,VIEW,a11,8.24E+18,8.52E+18,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.84 Safari/537.36",SP,BR
1465415623,VIEW,a12,8.24E+18,8.52E+18,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.84 Safari/537.36",SP,BR
1465412288,VIEW,a70,-4.45E+17,5.61E+18,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/50.0.2661.102 Safari/537.36",MG,BR
1465415693,VIEW,a32,2.77E+18,2.48E+17,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.79 Safari/537.36",MG,BR
1465415691,VIEW,a9,1.91E+18,9.12E+18,,,
1465416196,VIEW,a1,-1.13E+18,2.63E+18,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.79 Safari/537.36",SP,BR
1465415431,VIEW,a1,8.24E+18,8.52E+18,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.84 Safari/537.36",SP,BR
